P,Q,Fold Number,RMSE,RSS,MSE,MAE,MAPE,R2,AIC,BIC
5,7,1,6.564634908591858,52919.96186125027,43.09443148310283,3.763152503779718,0.014220581336837278,0.9949429135440715,-4643.447572688968,-4699.692135884746
5,7,2,6.647617178889955,54266.31978488544,44.190814157072865,3.8384442055040138,0.01449638143896958,0.9948142541841442,-4676.298805985009,-4737.656511289493
5,8,0,6.6548789113431095,54384.94356265699,44.28741332463927,3.8662597093840474,0.014592507180135501,0.994802918372877,-4680.980230065956,-4747.451077479148
5,8,1,6.656000151207162,54403.27107980407,44.30233801286975,3.8746421545775576,0.014622195849703453,0.994801166976325,-4683.393991636424,-4754.977981158324
5,8,2,6.636447405771589,54084.109160234984,44.042434169572445,3.8602634950051673,0.014567831330746793,0.9948316664204655,-4678.168598838088,-4754.865730468694
5,9,0,6.5787727945519325,53148.1488203094,43.28025148233666,3.8006175387490977,0.014356096735511597,0.994921107761537,-4640.731234596773,-4676.523229357723
5,9,1,6.585404086695888,53255.347697667064,43.367546985070845,3.799038626240915,0.014347015835029633,0.994910863725606,-4645.205594373313,-4686.110731242969
5,9,2,6.576153294504047,53105.83276365857,43.245792152816456,3.7731990265085877,0.014262824392771864,0.9949251515278102,-4643.753123103164,-4689.771402081528
5,10,0,6.610176667342503,53656.76688423251,43.69443557347926,3.782416857295401,0.0143060193653962,0.9948725036916957,-4658.42709521953,-4709.558516306601
5,10,1,6.5806964497324385,53179.23475760393,43.305565763521116,3.766484369645254,0.014232862042332319,0.9949181371571199,-4649.449272242405,-4705.693835438183
5,10,2,6.65727340968729,54424.08720063255,44.319289251329465,3.826107027037579,0.014448537986444979,0.9947991777662235,-4679.863766830697,-4741.221472135182
6,1,0,6.65657761310371,54412.71133766784,44.31002551927349,3.8398840966026713,0.014506011007277426,0.99480026485549,-4681.607060276311,-4748.077907689503
6,1,1,6.61907850280004,53801.38187780997,43.812200226229635,3.8529345167823874,0.014541399028769771,0.9948586841328823,-4669.732332120963,-4741.316321642863
6,1,2,6.6656064064685845,54560.41916459278,44.43030876595505,3.867746218067053,0.01459917753350848,0.9947861497423134,-4688.936051959146,-4765.633183589753
6,2,2,6.644870913781722,54221.49201788983,44.15430946082234,3.8606815962212773,0.014570286599020169,0.9948185379720637,-4683.283973072649,-4765.094246811963
6,3,2,6.579079063914856,53153.097472310124,43.28428132924279,3.81222358352776,0.014397178552116901,0.994920634863218,-4642.845568997793,-4683.750705867449
6,4,2,6.619185311977489,53803.118230598586,43.81361419429859,3.846095270594375,0.014521264940262391,0.9948585182052084,-4665.771963200008,-4727.129668504493
6,5,0,6.651525917263192,54330.154750413414,44.2427970280239,3.846814517473914,0.014531975783848348,0.9948081540486143,-4679.742487228479,-4746.213334641671
6,5,1,6.659867809674733,54466.51458959564,44.35383924234167,3.84925429522424,0.01453405963180883,0.994795123360919,-4684.820705913162,-4756.4046954350615
6,5,2,6.652856782470478,54351.89813598189,44.260503368063404,3.8514127963304072,0.01453113714989248,0.9948060762281322,-4684.233844856078,-4760.930976486684
6,6,0,6.690239257410506,54964.42202267512,44.75930132139659,3.899891875105694,0.014710856219507448,0.9947475428100726,-4699.995508325075,-4781.805782064389
6,6,1,6.591484708981786,53353.739581213566,43.44767066874076,3.8451682402521037,0.014509348599060718,0.9949014612951401,-4665.472291713756,-4752.395707561776
6,6,2,6.63393923600153,54043.235938387574,44.00914978696058,3.8538144588483325,0.014549783932226685,0.9948355723079482,-4665.240206140136,-4711.2584851185
6,7,0,6.654330955239482,54375.98792716212,44.28012046185842,3.8540623403401355,0.014540570352376634,0.9948037741826957,-4684.77799714533,-4761.475128775936
6,7,1,6.654682575948476,54381.73462918439,44.284800186632346,3.853835444426384,0.014542883715525343,0.9948032250218887,-4686.9077709199955,-4768.718044659309
6,7,2,6.636230039012308,54080.566332486465,44.03954913068932,3.848813711843949,0.014527183340149567,0.9948320049767606,-4682.088154969388,-4769.011570817408
6,8,0,6.6779876854935045,54763.29797989636,44.59551952760288,3.8844567159793955,0.014662391997805968,0.9947667624322515,-4699.493809007584,-4791.530366964312
6,8,1,6.64142367490609,54165.24835155262,44.10850842960318,3.86055617666439,0.014572346521205105,0.9948239126751673,-4670.0095140710055,-4721.140935158076
6,8,2,6.651456856134701,54329.02656347818,44.24187830902136,3.8667627428111313,0.014587842008931661,0.9948082618593282,-4675.716987062923,-4731.961550258701
